¶ÏÃæ,date_beijing,¾­¶È,Î³¶È,point_id,is_train,date_gmt,time_gmt,time_beijing,station_B1,station_B2,station_B3,station_B4,station_B5,station_B6,station_B7,station_B8,station_B8A,station_B9,station_B11,station_B12,veg_B1,veg_B2,veg_B3,veg_B4,veg_B5,veg_B6,veg_B7,veg_B8,veg_B8A,veg_B9,veg_B11,veg_B12,anomaly_B1,anomaly_B2,anomaly_B3,anomaly_B4,anomaly_B5,anomaly_B6,anomaly_B7,anomaly_B8,anomaly_B8A,anomaly_B9,anomaly_B11,anomaly_B12,veg_corrected_B1,veg_corrected_B2,veg_corrected_B3,veg_corrected_B4,veg_corrected_B5,veg_corrected_B6,veg_corrected_B7,veg_corrected_B8,veg_corrected_B8A,veg_corrected_B9,veg_corrected_B11,veg_corrected_B12,Ë®ÎÂ_avg,pH_avg,ÈÜ½âÑõ_avg,¸ßÃÌËáÑÎÖ¸Êý_avg,°±µª_avg,×ÜÁ×_avg,×Üµª_avg,µçµ¼ÂÊ_avg,×Ç¶È_avg
312¹úµÀÇÅ,2019-01-24,120.415186,31.450267,point_0,1,2019/1/24,2:49,10:49:00,0.0975,0.1188,0.1274,0.1004,0.0951,0.0832,0.0817,0.0816,0.0713,0.0742,0.033,0.0227,0.09753691,0.10972873,0.118029338,0.117317068,0.136889472,0.170033987,0.181821829,0.198284653,0.189990108,0.181585364,0.175214182,0.134299257,0.0315499999999999,0.03575,0.0155,0.0177999999999999,0.0104999999999999,0.0377499999999999,0.03705,0.03965,0.0353,0.0038,0.00835,0.00365,-3.69e-05,0.00907127,0.009370662,-0.016917068,-0.041789472,-0.086833987,-0.100121829,-0.116684653,-0.126984653,-0.107385364,-0.06453691,-0.07483691,,,,,,,,,
312¹úµÀÇÅ,2019-03-20,120.415186,31.450267,point_0,1,2019/3/20,2:49,10:49:00,0.0959,0.1013,0.1154,0.0948,0.1027,0.0833,0.083,0.0747,0.0735,0.0989,0.0336,0.0232,0.091844964,0.089625191,0.102054024,0.096795296,0.128057821,0.173951739,0.189284351,0.188396826,0.201299524,0.192552061,0.166424401,0.117429718,0.0299499999999999,0.01825,0.0035,0.0121999999999999,0.0180999999999999,0.0378499999999999,0.03835,0.03275,0.0374999999999999,0.0285,0.00895,0.00415,0.0040550359999999,0.0116748089999999,0.013345976,-0.001995296,-0.025357821,-0.090651739,-0.106284351,-0.113696826,-0.114896826,-0.093652061,-0.058244964,-0.068644964,,,,,,,,,
312¹úµÀÇÅ,2019-05-09,120.415186,31.450267,point_0,1,2019/5/9,2:49,10:49:00,0.0825,0.0802,0.1012,0.0683,0.0732,0.0603,0.0598,0.0544,0.0533,0.1045,0.0363,0.0273,0.09013524,0.090637143,0.116821691,0.109706202,0.159187925,0.246579911,0.271452206,0.279833318,0.286409924,0.277015683,0.209862044,0.1520402,0.0165499999999999,-0.00285,-0.0107,-0.0143,-0.0114,0.0148499999999999,0.01515,0.0124499999999999,0.0172999999999999,0.0341,0.01165,0.00825,-0.00763524,-0.010437143,-0.015621691,-0.041406202,-0.085987925,-0.186279911,-0.211652206,-0.225433318,-0.226533318,-0.172515683,-0.05383524,-0.06283524,,,,,,,,,
312¹úµÀÇÅ,2019-05-24,120.415186,31.450267,point_0,1,2019/5/24,2:49,10:49:00,0.0849,0.1096,0.1414,0.1042,0.101,0.0672,0.0699,0.0651,0.0619,0.1074,0.0603,0.0536,0.068910674,0.081360439,0.109747403,0.113800059,0.155399534,0.234436749,0.263336689,0.283100771,0.278633787,0.273631542,0.23219978,0.176773138,0.0189499999999999,0.02655,0.0295,0.0215999999999999,0.0163999999999999,0.0217499999999999,0.02525,0.02315,0.0258999999999999,0.037,0.03565,0.03455,0.0159893259999999,0.0282395609999999,0.031652597,-0.009600059,-0.054399534,-0.167236749,-0.193436689,-0.218000771,-0.221200771,-0.166231542,-0.008610674,-0.015310674,,,,,,,,,
312¹úµÀÇÅ,2019-07-23,120.415186,31.450267,point_0,1,2019/7/23,2:49,10:49:00,0.083,0.0947,0.148,0.1004,0.1393,0.089,0.0932,0.0729,0.0727,0.1088,0.0453,0.0412,0.05995148,0.064938592,0.088651143,0.071328505,0.124402761,0.242213473,0.29340767,0.277723777,0.308521866,0.290770212,0.209611936,0.136452943,0.0170499999999999,0.01165,0.0360999999999999,0.0177999999999999,0.0547,0.0435499999999999,0.04855,0.03095,0.0366999999999999,0.0384,0.02065,0.02215,0.02304852,0.029761408,0.0593488569999999,0.029071495,0.014897239,-0.153213473,-0.20020767,-0.204823777,-0.205023777,-0.181970212,-0.01465148,-0.01875148,,,,,,,,,
312¹úµÀÇÅ,2019-08-02,120.415186,31.450267,point_0,1,2019/8/2,2:49,10:49:00,0.0658,0.109,0.1366,0.1002,0.1552,0.1385,0.1398,0.1146,0.1095,0.1231,0.0599,0.0522,0.050990111,0.060174576,0.088752454,0.075734602,0.131093814,0.259248917,0.316723442,0.308407536,0.331536963,0.318689543,0.217957202,0.142363322,-0.00015,0.02595,0.0247,0.0175999999999999,0.0706,0.09305,0.09515,0.0726499999999999,0.0735,0.0527,0.03525,0.03315,0.014809889,0.048825424,0.047847546,0.024465398,0.024106186,-0.120748917,-0.176923442,-0.193807536,-0.198907536,-0.195589543,0.008909889,0.001209889,,,,,,,,,
312¹úµÀÇÅ,2019-08-12,120.415186,31.450267,point_0,1,2019/8/12,2:49,10:49:00,0.0939,0.117,0.1442,0.132,0.1454,0.108,0.116,0.0947,0.0877,0.0895,0.0317,0.0272,0.059355747,0.065629486,0.08698258,0.069404754,0.118695111,0.242972064,0.299998854,0.294790052,0.313746992,0.298824218,0.188276667,0.115383786,0.0279499999999999,0.03395,0.0322999999999999,0.0494,0.0607999999999999,0.06255,0.07135,0.05275,0.0516999999999999,0.0191,0.00705,0.00815,0.034544253,0.051370514,0.0572174199999999,0.062595246,0.0267048889999999,-0.134972064,-0.183998854,-0.200090052,-0.207090052,-0.209324218,-0.027655747,-0.032155747,,,,,,,,,
312¹úµÀÇÅ,2019-08-17,120.415186,31.450267,point_0,1,2019/8/17,2:49,10:49:00,0.0926,0.1036,0.1356,0.1092,0.1258,0.0721,0.0773,0.0598,0.0519,0.0617,0.0208,0.018,0.058576082,0.057074166,0.085122578,0.068269987,0.125320935,0.266959629,0.3212449,0.320333912,0.343285356,0.321915529,0.202319418,0.121804813,0.0266499999999999,0.02055,0.0237,0.0266,0.0411999999999999,0.0266499999999999,0.03265,0.0178499999999999,0.0158999999999999,-0.0087,-0.00385,-0.00105,0.034023918,0.0465258339999999,0.0504774219999999,0.040930013,0.000479065,-0.194859629,-0.2439449,-0.260533912,-0.268433912,-0.260215529,-0.037776082,-0.040576082,,,,,,,,,
312¹úµÀÇÅ,2019-09-16,120.415186,31.450267,point_0,1,2019/9/16,2:49,10:49:00,0.0811,0.0907,0.1162,0.0894,0.0951,0.0615,0.065,0.0558,0.0514,0.0904,0.0237,0.0179,0.067109771,0.064807289,0.086448556,0.071563821,0.11936181,0.237053329,0.280157856,0.281358475,0.299875036,0.291456342,0.183674948,0.114138565,0.0151499999999999,0.00765,0.0042999999999999,0.0067999999999999,0.0104999999999999,0.0160499999999999,0.02035,0.01385,0.0153999999999999,0.02,-0.00095,-0.00115,0.013990229,0.025892711,0.029751444,0.0178361789999999,-0.02426181,-0.175553329,-0.215157856,-0.225558475,-0.229958475,-0.201056342,-0.043409771,-0.049209771,,,,,,,,,
312¹úµÀÇÅ,2019-10-31,120.415186,31.450267,point_0,1,2019/10/31,2:49,10:49:00,0.0628,0.0902,0.1208,0.1072,0.1073,0.0748,0.0778,0.0735,0.061,0.0788,0.0465,0.0358,0.052873435,0.072393002,0.096882922,0.10457894,0.141865142,0.198541006,0.222234952,0.240642941,0.239906448,0.235853031,0.199035693,0.143566152,-0.00315,0.00715,0.0089,0.0245999999999999,0.0226999999999999,0.02935,0.03315,0.0315499999999999,0.0249999999999999,0.0084,0.02185,0.01675,0.0099265649999999,0.017806998,0.023917078,0.00262106,-0.034565142,-0.123741006,-0.144434952,-0.167142941,-0.179642941,-0.157053031,-0.006373435,-0.017073435,,,,,,,,,
312¹úµÀÇÅ,2019-11-05,120.415186,31.450267,point_0,1,2019/11/5,2:49,10:49:00,0.0688,0.0829,0.1088,0.0918,0.0914,0.0577,0.0576,0.0537,0.0422,0.0634,0.0225,0.0177,0.069786043,0.076048492,0.099677016,0.106925154,0.144537728,0.196233297,0.216114977,0.231807278,0.235853627,0.235133822,0.205879163,0.144497272,0.0028499999999999,-0.00015,-0.0031,0.0092,0.0067999999999999,0.0122499999999999,0.01295,0.0117499999999999,0.0061999999999999,-0.007,-0.00215,-0.00135,-0.000986043,0.006851508,0.009122984,-0.015125154,-0.053137728,-0.138533297,-0.158514977,-0.178107278,-0.189607278,-0.171733822,-0.047286043,-0.052086043,,,,,,,,,
