protocol,method,target,n_folds,R2_fold_mean,R2_fold_std,MAE_fold_mean,MAE_fold_std
random,ADAE,CODMn,5,0.7686940441215782,0.021366570498232207,0.3985328916415556,0.016245401475357198
random,ADAE,NH3N,5,0.6069923385671621,0.030193733916221155,0.08132044378918926,0.003090841863505425
random,ADAE,TP,5,0.7220269534904841,0.035902442821156094,0.014680657896633581,0.001016539268991917
random,CaB,CODMn,5,0.763378692310958,0.0189542101128681,0.405348629468765,0.0140413411314036
random,CaB,NH3N,5,0.5995959558980715,0.033750337457383,0.0818646360514104,0.0030458466669284
random,CaB,TP,5,0.7166464059057864,0.0339780057278351,0.0149494454550259,0.0008799584286638
random,DANN,CODMn,5,0.709162120166328,0.0298704204798899,0.4495569229277282,0.0135150720540482
random,DANN,NH3N,5,0.513398263268382,0.0228539982820522,0.0929864356420386,0.0033554385994335
random,DANN,TP,5,0.6225330272873562,0.0320428864780358,0.0173356616880996,0.0005957725162436
random,RF,CODMn,5,0.720204972888675,0.0224690545281155,0.4413517665621074,0.015188415259485
random,RF,NH3N,5,0.5276682995854811,0.0241996314487859,0.0916363843684236,0.0025291954607182
random,RF,TP,5,0.6373781763798532,0.0390179415434272,0.0167952291045006,0.0010292102142293
random,XGB,CODMn,5,0.7587211960010998,0.0214915674484443,0.4050514895545346,0.0164246624194767
random,XGB,NH3N,5,0.6056910907495123,0.0397457889298469,0.0817219354512346,0.0032011024263207
random,XGB,TP,5,0.7161377806418494,0.0370965387142363,0.0148589133867045,0.001161493289324
station,ADAE,CODMn,5,0.5233000712274701,0.04527099731506198,0.59473139810463,0.02293929084799953
station,ADAE,NH3N,5,0.38132261127360134,0.1399235417111566,0.11008733391082352,0.018873997289560213
station,ADAE,TP,5,0.3324416966864154,0.13719758373840357,0.02273163136553052,0.0027170729407009265
station,CaB,CODMn,5,0.2339805916135546,0.3621466828241257,0.7283212925401413,0.19860377961140077
station,CaB,NH3N,5,0.30996678498134,0.09885893834802453,0.11456654638951971,0.012084206249488935
station,CaB,TP,5,0.18206873515375932,0.15560732260204443,0.026131770486748352,0.0020193421654395374
station,DANN,CODMn,5,0.2321162320314171,0.368290480583707,0.7249727974773548,0.186831534983296
station,DANN,NH3N,5,0.34804967281390237,0.12914145054481202,0.11074112423554831,0.015997793558961634
station,DANN,TP,5,0.2798775614724144,0.16410700011245613,0.024356405295238685,0.0030109473206841645
station,RF,CODMn,5,0.29554871118188386,0.21732462320303064,0.7206834831696337,0.13829469767289837
station,RF,NH3N,5,0.30387357668267345,0.1101982829093562,0.11689599943600533,0.01356970876402123
station,RF,TP,5,0.20839270579626704,0.19741421906552895,0.02536960821894163,0.0031983554342866773
station,XGB,CODMn,5,0.3226841275344639,0.3373804132829107,0.6860279987757948,0.19973144955898042
station,XGB,NH3N,5,0.2468617608236719,0.11157513581739689,0.11850653428736639,0.013574871421565002
station,XGB,TP,5,0.17108136977678795,0.18734587933669122,0.026107062992607975,0.0023150507877362165
temporal,ADAE,CODMn,5,0.5916045310248297,0.09102303394866028,0.5318273658145842,0.04109937442576086
temporal,ADAE,NH3N,5,0.36339871741375057,0.06170963559012317,0.10425759529336749,0.022177469467381927
temporal,ADAE,TP,5,0.5014160166264938,0.04666462769329225,0.01909468671353246,0.0029741922223281174
temporal,CaB,CODMn,5,0.5790813526184356,0.1024179658418969,0.5384680291252046,0.0415717581394198
temporal,CaB,NH3N,5,0.3651048450284581,0.0699344174874764,0.1041369934494245,0.0236950552261789
temporal,CaB,TP,5,0.4876058857305014,0.055752876902732,0.0194710890641224,0.0030229193790852
temporal,DANN,CODMn,5,0.4970417119272028,0.1118211455152118,0.5863786015827854,0.0377796632994795
temporal,DANN,NH3N,5,0.270818668806886,0.08820013413229,0.1100194921732925,0.0248487453425829
temporal,DANN,TP,5,0.4134099158780154,0.0670655940244675,0.0210139780836971,0.0028784829810022
temporal,RF,CODMn,5,0.5627013348805319,0.1120240459792269,0.5526860617570112,0.0422209870268047
temporal,RF,NH3N,5,0.2664510733230706,0.170553197772469,0.115746101871262,0.020099381344609
temporal,RF,TP,5,0.3855017864537139,0.1314299913124504,0.0212460793283508,0.0027053411521393
temporal,XGB,CODMn,5,0.5936023872073843,0.0859862972442739,0.5328030767784279,0.0348368701562509
temporal,XGB,NH3N,5,0.3427166358114271,0.092876086686311,0.1083478416401372,0.0225397979308689
temporal,XGB,TP,5,0.4763606871619895,0.0772926140261562,0.0195306935019567,0.0027616473428961
